material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,structural_factor,doping_structural_coupling,density_volume_ratio,compactness,coordination_factor,dimensional_factor,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,dataset_split
mp-aaaewbxa,Bulk ZnO,1.8600000000000003,4.038599758730104,194.55231484166833,17,11.444253814215784,3,11.444253814215784,0,0.0,0.02075842562971723,0.08738009626786007,2.933842443741672,29.426399151313344,0.08738008863257951,0.11764705882352941,0.5882352941176471,0.19999999999999998,2.71,2.13,0.888235294117647,4.588235294117647,0.40015566463586194,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewbyc,Bulk ZnO,0.3543000000000003,4.630350682262558,162.613627983468,14,11.615259141676287,2,11.615259141676287,0,0.0,0.02847455492926644,0.08609364524739156,2.5649312131281494,27.994426966701727,0.08609363783527645,0.07142857142857142,0.5714285714285714,0.125,2.714285714285714,2.13,0.9321428571428572,4.285714285714286,0.41331389876657276,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewbyq,Bulk ZnO,1.8008000000000002,4.0029650534672285,196.2842346323715,17,11.54613144896303,3,11.54613144896303,0,0.0,0.02039371659656997,0.08660909538578059,2.9251879906054534,29.688355238038735,0.08660908788464583,0.11764705882352941,0.5882352941176471,0.19999999999999998,2.71,2.13,0.888235294117647,4.588235294117647,0.40015566463586194,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewbyy,Bulk ZnO,1.6339000000000001,3.933485734137231,199.75131089480976,17,11.750077111459397,3,11.750077111459397,0,0.0,0.01969191449366071,0.08510582445665302,2.908164990886797,30.21275696551025,0.08510581721365228,0.11764705882352941,0.5882352941176471,0.19999999999999998,2.71,2.13,0.888235294117647,4.588235294117647,0.40015566463586194,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewbzc,Bulk ZnO,1.2684000000000002,4.546010601643509,185.01057809535007,15,12.334038539690004,2,12.334038539690004,0,0.0,0.024571625300800926,0.08107644521963148,2.6324435825240746,30.418354771840853,0.08107643864624205,0.13333333333333333,0.5333333333333333,0.25,2.63,2.13,0.9733333333333334,4.133333333333334,0.4113297413590529,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewbzg,Bulk ZnO,1.1511999999999998,6.706766887070872,134.3995478992638,11,12.218140718114892,3,12.218140718114892,0,0.0,0.04990170719992139,0.08184551341083979,2.1474682383717663,27.1729017008618,0.08184550671215227,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.6854545454545455,2.13,0.9772727272727273,4.181818181818182,0.42881602126899787,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Test
mp-aaaewbzi,Bulk ZnO,1.2906000000000004,5.034296872113681,167.0660413565423,15,11.137736090436155,2,11.137736090436155,0,0.0,0.030133573712743854,0.08978485321255623,2.7235072248313057,27.468019226939894,0.0897848451512371,0.13333333333333333,0.5333333333333333,0.25,2.63,2.13,0.9733333333333334,4.133333333333334,0.4113297413590529,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Test
mp-aaaewbzm,Bulk ZnO,0.9544000000000001,4.950119631180957,169.90701480016614,15,11.327134320011076,2,11.327134320011076,0,0.0,0.02913428640367188,0.08828358274460915,2.7082421263461045,27.935115427574377,0.08828357495061886,0.13333333333333333,0.5333333333333333,0.25,2.63,2.13,0.9733333333333334,4.133333333333334,0.4113297413590529,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Test
mp-aaaewbzo,Bulk ZnO,0.35680000000000023,4.779500927757678,157.5390683377677,14,11.252790595554837,2,11.252790595554837,0,0.0,0.03033851207949452,0.0888668452068261,2.592180731713733,27.12082620426027,0.08886683730951062,0.07142857142857142,0.5714285714285714,0.125,2.714285714285714,2.13,0.9321428571428572,4.285714285714286,0.41331389876657276,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewcaf,Bulk ZnO,1.9182000000000001,3.799088504773815,206.81774872910577,17,12.165749925241515,3,12.165749925241515,0,0.0,0.01836925761023509,0.08219797432505155,2.8746588965927202,31.281568819325315,0.08219796756854514,0.11764705882352941,0.5882352941176471,0.19999999999999998,2.71,2.13,0.888235294117647,4.588235294117647,0.40015566463586194,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Test
